"Tilltalsnamn, de 100 vanligaste efter bärarnas födelseår efter tilltalsnamn och tid"

"tilltalsnamn","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Agnes",12,10,..,..,..,21,27,24,35,26,33,40,36,33,37,37,25,30,38,24,17,26,37,22,26,20,24,30,19,27,32,14,18,32,14,23,24,21,22,22,16,15,16,14,..,14,10,18,10,16,13,11,10,17,16,12,22,25,26,33,24,23,42,27,35,29,37,39,47,50,81,79,92,111,110,137,191,231,272,263,266,221,245,244,288,379,378,451,456,556,867,620,599,575,577,574,577,606,655,551,519
"Agneta",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,12,12,18,33,33,58,108,146,217,293,438,641,600,585,673,911,883,787,774,740,787,684,701,769,655,702,683,574,561,546,465,476,413,369,304,254,205,173,186,157,130,114,63,49,58,39,41,41,39,32,26,23,16,13,12,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Alexandra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,10,..,15,..,10,12,16,15,14,14,14,18,17,21,18,27,30,35,42,53,52,69,72,91,105,137,186,195,209,179,182,234,229,279,247,255,281,335,397,466,528,642,651,775,727,639,522,463,418,439,392,327,395,345,297,293,218,232,213,189,164,148,137,139,123,116,108,108,84,107
"Alice",28,24,16,20,30,30,38,44,61,76,81,81,86,94,84,86,55,70,73,72,64,84,82,66,64,95,113,82,72,68,64,68,64,53,54,50,39,46,33,44,33,32,22,24,22,23,12,14,..,15,16,12,15,15,..,13,10,16,11,18,12,17,14,22,17,23,19,31,19,31,33,24,39,51,68,76,134,201,277,303,332,377,388,395,476,460,558,691,772,906,790,800,834,961,867,1010,934,884,809,872,844
"Alva",..,10,..,..,10,17,14,15,30,26,32,42,30,39,34,34,34,36,37,38,40,34,31,44,22,27,17,27,17,17,17,..,12,..,..,..,..,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,15,..,11,15,21,30,42,96,143,207,303,366,459,569,733,797,809,852,890,749,758,771,712,615,593,600,541,543,464
"Amanda",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,16,21,17,14,26,24,27,26,27,34,45,66,84,93,90,115,136,217,265,531,793,970,1211,1252,1443,1472,1282,1348,1095,990,962,890,844,747,713,694,640,534,616,590,546,471,430,378,357,309,268,200
"Anette",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,68,47,46,52,65,100,138,188,252,234,258,303,335,366,398,495,544,735,819,835,826,1038,1219,1343,1425,1363,1511,1680,1570,1543,1222,1098,849,821,582,461,347,297,219,214,159,161,146,109,113,89,89,88,80,63,56,47,31,33,29,28,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Anita",..,..,..,..,..,..,..,..,..,..,..,18,16,35,36,48,83,102,176,223,322,525,687,891,1035,1348,1696,1582,1385,1307,1144,981,943,858,738,656,732,691,652,724,754,739,554,465,442,414,372,326,347,253,282,212,177,141,116,118,103,82,71,75,62,63,57,52,51,47,51,28,41,31,31,35,39,30,31,38,22,27,22,18,13,15,18,12,20,12,11,19,..,..,10,11,11,..,12,..,13,13,11,..,10
"Ann",..,..,..,..,..,..,..,10,10,..,12,13,18,20,30,36,24,33,30,37,77,62,78,82,94,112,160,187,228,249,320,343,454,445,536,608,671,767,891,971,1084,1076,1068,1017,955,875,811,831,837,759,715,634,563,511,510,461,439,385,388,373,277,262,215,187,179,212,201,140,138,119,106,79,66,58,80,85,51,42,28,19,22,14,15,12,11,..,12,16,10,..,21,..,..,..,11,..,11,11,..,..,..
"Anna",153,173,95,155,231,278,305,400,422,507,542,545,612,615,578,611,620,585,579,590,575,594,607,559,539,558,639,686,750,649,798,711,681,657,636,577,554,499,541,523,510,548,585,622,653,712,905,1062,1302,1505,1646,1909,2164,2357,2657,2954,3198,3344,3455,3227,3149,3055,2843,2967,3035,2771,2491,2248,2131,2058,1884,1762,1771,1708,1664,1690,1461,1136,1033,829,742,663,539,559,479,501,467,438,371,343,311,283,221,210,186,175,156,141,139,148,102
"Ann-Christin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,20,44,70,131,257,314,429,491,611,602,657,728,710,685,717,729,607,644,589,518,401,455,426,511,598,523,515,377,296,243,199,179,156,162,109,120,87,59,48,45,47,36,38,34,15,23,16,15,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Anneli",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,13,16,22,21,21,32,38,18,41,56,74,59,110,104,128,163,156,167,209,241,283,386,478,446,550,672,643,633,714,1260,1167,1327,1318,1223,1248,1155,1022,928,879,709,692,621,469,394,358,321,328,258,292,282,235,222,224,177,181,167,127,102,110,89,51,44,47,25,30,12,17,..,..,15,12,..,..,..,..,..,..,10,11,..,..,..,..,..
"Annika",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,15,22,19,25,37,61,64,116,213,246,315,338,417,544,573,543,609,789,809,823,969,987,1102,1017,1068,1074,1102,1226,1645,1693,1751,1690,1608,1659,1443,1357,1184,979,882,813,659,534,516,553,433,387,379,394,363,344,336,222,229,186,174,143,141,114,81,53,45,46,39,36,20,27,10,19,17,25,22,15,15,16,13,17,..,17,17,10,..
