"Tilltalsnamn, de 100 vanligaste efter bärarnas födelseår efter tilltalsnamn och tid"

"tilltalsnamn","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Adam",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,11,12,..,10,17,12,11,16,13,15,14,11,17,21,17,26,28,37,30,50,62,64,70,90,84,90,87,97,118,99,110,117,123,155,126,155,166,201,248,295,326,460,599,693,791,872,813,698,649,599,625,653,710,790,722,665,649,623,613,573,545,516,548,493,507,485,495,515,591,555
"Albin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,15,21,15,16,20,17,19,38,43,45,53,70,76,98,127,195,203,297,312,404,438,432,525,678,677,742,870,894,886,786,720,739,696,639,593,570,532,479,456,435,408,346
"Alexander",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,..,..,..,..,14,17,..,18,20,22,12,21,14,16,16,15,29,28,33,36,24,27,34,36,32,40,39,44,68,54,87,98,152,140,135,181,178,192,178,275,257,282,309,357,491,579,849,891,1049,1182,1305,1698,1562,1580,1423,1386,1262,1152,1135,1087,1034,999,1001,1091,1008,954,947,886,799,879,865,883,753,736,720,613,630,612
"Ali",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,12,12,13,16,15,13,16,24,21,36,41,43,43,59,75,66,63,67,82,90,95,101,110,123,143,129,135,125,155,131,158,130,143,140,136,126,121,143,150,167,161,170,177,201,211,178,211,226,271,249,275,203,214,204,230,212,195,242,311,312,323,306,341,297,288,256,207,210,209,198,178,190,160,178,204,205,190,171,169,167,176
"Anders",..,..,..,..,24,22,38,34,75,52,58,90,86,112,119,130,167,158,129,166,181,223,256,350,385,414,586,692,920,986,1067,1164,1247,1364,1279,1377,1455,1587,1612,1666,1853,1878,2050,2396,2352,2444,2531,2667,2697,2767,2744,2457,2346,2000,1806,1726,1721,1730,1812,1504,1332,1294,1188,1154,1137,1133,1000,946,828,813,622,583,526,451,378,340,254,186,171,134,104,82,62,57,50,33,38,41,31,25,24,16,23,14,12,..,11,14,12,..,..
"Andreas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,15,14,12,16,17,24,28,23,29,29,47,34,56,57,72,97,102,108,172,246,277,411,726,1072,1359,1631,1796,1677,1622,1789,1852,1968,1750,1730,1793,1738,1645,1631,1619,1652,1636,1678,1643,1497,1219,1106,943,804,639,555,465,374,313,291,212,205,177,116,104,65,67,55,54,44,45,45,40,20
"Anton",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,20,..,17,16,14,17,10,..,..,10,12,12,..,12,10,..,..,13,..,10,10,17,10,16,15,13,..,22,13,21,17,19,23,23,17,26,21,45,45,62,60,94,101,110,159,190,230,342,378,661,776,939,1111,1134,1438,1402,1151,1187,1123,1078,1060,1057,1020,970,978,873,821,902,787,736,670,650,627,626,566,467,413,271
"Arne",..,12,..,13,29,33,43,77,107,148,167,181,246,244,263,263,302,289,292,316,321,299,366,372,355,315,387,423,495,508,390,453,423,410,372,369,323,357,304,296,262,260,228,202,177,169,156,124,113,91,97,62,43,60,50,45,37,40,27,31,23,21,19,16,21,13,12,..,10,..,..,10,..,..,10,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Axel",..,..,..,13,..,30,28,36,41,37,61,41,72,66,65,59,70,55,63,70,73,68,70,79,81,52,81,76,64,53,62,54,48,43,30,41,26,33,29,37,26,13,17,16,24,10,18,17,17,12,21,21,19,12,23,22,17,28,30,33,41,36,47,42,75,72,69,78,92,108,137,125,144,209,226,283,382,458,490,457,441,485,541,532,570,579,649,689,737,723,735,723,690,727,703,644,679,646,609,633,495
"Bengt",..,10,12,14,29,54,49,78,130,170,259,289,308,422,463,536,615,705,752,817,1066,1119,1097,1242,1214,1305,1608,1641,1718,1818,1671,1670,1641,1665,1551,1486,1444,1253,1133,1115,1115,1031,923,916,791,724,657,548,517,448,473,358,315,253,219,204,194,171,145,129,117,123,95,117,89,93,102,20,20,27,23,13,15,13,14,22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
